Date,Time_Hour,Month,Area Name,Road/Intersection Name,Event,Spectator_Count,Traffic Volume,Average Speed,Travel Time Index,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity,Congestion Level,Road_DNA_Score,Reroute_Reason
2025-05-28,22,5,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs GT,29978,105785,8.67,3.95,97.75,0,121.82,85.97,74.9,91.65,2326,Thunderstorm,No,High,90,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 29,978 spectators). Heavy crowd movement on Cubbon Road during peak match hours (22:00). Road DNA: 90. Reroute via Richmond Road flyover."
2025-04-18,22,4,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs SRH,33545,110034,8.56,4.18,103.3,1,136.49,85.2,83.21,97.77,2133,Clear,Yes,High,84,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 33,545 spectators). Heavy crowd movement on Cubbon Road during peak match hours (22:00). Road DNA: 84. Reroute via Richmond Road flyover."
2025-04-07,22,4,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs DC,29447,127492,13.02,2.75,92.07,0,128.87,70.85,81.68,94.19,3453,Thunderstorm,No,High,81,"IPL Match at Chinnaswamy Stadium (RCB vs DC, 29,447 spectators). Heavy crowd movement on Cubbon Road during peak match hours (22:00). Road DNA: 81. Reroute via Richmond Road flyover."
2025-05-28,19,5,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs CSK,32721,118626,7.78,3.51,100.11,4,186.58,70.66,78.63,94.97,955,Light Rain,No,Severe,94,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 32,721 spectators). Heavy crowd movement on Richmond Road during peak match hours (19:00). Road DNA: 94. Reroute via Richmond Road flyover."
2025-05-06,18,5,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs KKR,28952,114374,11.74,2.91,107.57,0,172.08,77.11,70.98,92.18,934,Clear,Yes,High,85,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 28,952 spectators). Heavy crowd movement on Kasturba Road during peak match hours (18:00). Road DNA: 85. Reroute via Richmond Road flyover."
2025-05-02,18,5,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs GT,34864,126200,13.71,2.75,100.21,2,121.64,68.42,79.62,98.67,3188,Clear,Yes,High,95,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 34,864 spectators). Heavy crowd movement on Residency Road during peak match hours (18:00). Road DNA: 95. Reroute via Richmond Road flyover."
2025-03-27,19,3,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs SRH,29103,127295,6.92,3.71,93.51,0,127.89,80.1,89.27,98.91,1700,Thunderstorm,No,High,79,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 29,103 spectators). Heavy crowd movement on Cubbon Road during peak match hours (19:00). Road DNA: 79. Reroute via Richmond Road flyover."
2025-03-18,20,3,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs GT,30007,82881,22.26,2.21,72.95,2,134.42,79.95,83.14,85.69,2379,Thunderstorm,No,Medium,75,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 30,007 spectators). Heavy crowd movement on Richmond Road during peak match hours (20:00). Road DNA: 75. Reroute via Richmond Road flyover."
2025-05-15,22,5,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs SRH,28517,115226,13.16,3.04,92.57,3,164.92,79.45,71.48,86.43,896,Thunderstorm,Yes,High,87,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 28,517 spectators). Heavy crowd movement on Kasturba Road during peak match hours (22:00). Road DNA: 87. Reroute via Richmond Road flyover."
2025-04-24,16,4,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs MI,33027,97374,13.85,2.98,112.37,3,136.66,73.85,72.16,92.71,1474,Light Rain,No,Severe,94,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 33,027 spectators). Heavy crowd movement on Cubbon Road during peak match hours (16:00). Road DNA: 94. Reroute via Richmond Road flyover."
2025-03-02,23,3,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs KKR,30945,125428,7.83,3.04,97.0,4,128.76,69.81,85.58,88.84,1877,Heavy Rain,No,Severe,93,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 30,945 spectators). Heavy crowd movement on MG Road during peak match hours (23:00). Road DNA: 93. Reroute via Richmond Road flyover."
2025-04-21,20,4,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs RR,31040,119302,10.51,4.3,98.23,0,167.54,75.89,85.03,95.89,1884,Light Rain,Yes,Severe,94,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 31,040 spectators). Heavy crowd movement on MG Road during peak match hours (20:00). Road DNA: 94. Reroute via Richmond Road flyover."
2025-05-07,20,5,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs KKR,28240,129654,11.98,3.8,107.9,4,126.27,66.9,83.09,97.85,2889,Heavy Rain,Yes,Severe,79,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 28,240 spectators). Heavy crowd movement on MG Road during peak match hours (20:00). Road DNA: 79. Reroute via Richmond Road flyover."
2025-04-05,19,4,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs RR,34228,101482,8.2,3.85,102.59,0,176.96,67.05,73.33,92.15,3121,Light Rain,No,Severe,94,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 34,228 spectators). Heavy crowd movement on Kasturba Road during peak match hours (19:00). Road DNA: 94. Reroute via Richmond Road flyover."
2025-05-06,23,5,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs RR,28055,97472,11.22,2.98,96.9,0,157.85,78.06,78.94,89.57,3456,Thunderstorm,Yes,High,78,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 28,055 spectators). Heavy crowd movement on Residency Road during peak match hours (23:00). Road DNA: 78. Reroute via Richmond Road flyover."
2025-03-25,19,3,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs RR,31317,91289,7.32,3.9,110.81,2,184.06,82.39,88.1,86.53,2004,Light Rain,No,Severe,78,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 31,317 spectators). Heavy crowd movement on Kasturba Road during peak match hours (19:00). Road DNA: 78. Reroute via Richmond Road flyover."
2025-04-23,17,4,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs RR,32870,118958,13.11,2.53,110.85,3,177.85,82.6,82.78,93.86,1791,Heavy Rain,Yes,Severe,81,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 32,870 spectators). Heavy crowd movement on Kasturba Road during peak match hours (17:00). Road DNA: 81. Reroute via Richmond Road flyover."
2025-04-02,20,4,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs GT,34830,78084,15.74,1.77,81.63,2,137.24,72.09,78.74,92.53,2597,Clear,Yes,Medium,68,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 34,830 spectators). Heavy crowd movement on Richmond Road during peak match hours (20:00). Road DNA: 68. Reroute via Richmond Road flyover."
2025-05-06,21,5,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs MI,32541,72859,23.75,2.4,89.72,0,159.51,66.32,81.07,98.6,3193,Thunderstorm,No,Medium,65,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 32,541 spectators). Heavy crowd movement on Richmond Road during peak match hours (21:00). Road DNA: 65. Reroute via Richmond Road flyover."
2025-05-02,16,5,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs RR,33248,65585,17.89,1.99,83.68,4,121.97,65.44,79.65,87.87,3001,Clear,Yes,Medium,56,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 33,248 spectators). Heavy crowd movement on Cubbon Road during peak match hours (16:00). Road DNA: 56. Reroute via Richmond Road flyover."
2025-04-17,21,4,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs GT,34716,60280,23.81,1.82,82.68,1,178.1,65.03,87.99,95.36,2025,Clear,No,Medium,65,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 34,716 spectators). Heavy crowd movement on Cubbon Road during peak match hours (21:00). Road DNA: 65. Reroute via Richmond Road flyover."
2025-04-02,19,4,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs DC,29138,120243,10.23,3.26,104.88,3,121.12,76.59,77.9,97.74,1947,Heavy Rain,No,Severe,85,"IPL Match at Chinnaswamy Stadium (RCB vs DC, 29,138 spectators). Heavy crowd movement on MG Road during peak match hours (19:00). Road DNA: 85. Reroute via Richmond Road flyover."
2025-05-07,23,5,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs MI,34009,103165,7.33,3.09,97.11,2,125.43,60.54,83.49,97.35,2174,Heavy Rain,No,Severe,95,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 34,009 spectators). Heavy crowd movement on Residency Road during peak match hours (23:00). Road DNA: 95. Reroute via Richmond Road flyover."
2025-03-24,22,3,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs GT,31285,117716,8.31,3.17,103.64,3,186.87,81.18,76.56,97.58,3044,Heavy Rain,Yes,Severe,90,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 31,285 spectators). Heavy crowd movement on MG Road during peak match hours (22:00). Road DNA: 90. Reroute via Richmond Road flyover."
2025-03-18,21,3,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs DC,34519,106208,13.7,3.42,102.39,3,128.66,64.27,85.01,86.57,2040,Heavy Rain,No,Severe,90,"IPL Match at Chinnaswamy Stadium (RCB vs DC, 34,519 spectators). Heavy crowd movement on MG Road during peak match hours (21:00). Road DNA: 90. Reroute via Richmond Road flyover."
2025-04-07,20,4,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs CSK,32427,107537,9.14,3.1,110.72,2,156.09,77.57,71.72,88.38,3455,Light Rain,Yes,Severe,92,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 32,427 spectators). Heavy crowd movement on Richmond Road during peak match hours (20:00). Road DNA: 92. Reroute via Richmond Road flyover."
2025-04-01,23,4,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs KKR,34012,90364,13.58,3.45,98.18,0,126.56,64.38,83.18,92.33,1386,Light Rain,No,Severe,82,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 34,012 spectators). Heavy crowd movement on MG Road during peak match hours (23:00). Road DNA: 82. Reroute via Richmond Road flyover."
2025-03-02,18,3,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs DC,32883,123274,9.67,3.22,110.57,3,143.5,84.53,76.89,86.97,3380,Heavy Rain,No,Severe,82,"IPL Match at Chinnaswamy Stadium (RCB vs DC, 32,883 spectators). Heavy crowd movement on Residency Road during peak match hours (18:00). Road DNA: 82. Reroute via Richmond Road flyover."
2025-03-22,18,3,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs GT,31184,106936,9.8,3.81,94.22,0,173.7,87.14,85.28,86.15,1909,Clear,Yes,High,94,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 31,184 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (18:00). Road DNA: 94. Reroute via Richmond Road flyover."
2025-04-25,21,4,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs MI,28728,72843,20.05,2.38,90.62,3,150.72,69.26,80.92,86.64,1336,Clear,Yes,Medium,59,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 28,728 spectators). Heavy crowd movement on Richmond Road during peak match hours (21:00). Road DNA: 59. Reroute via Richmond Road flyover."
2025-04-15,22,4,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs DC,32450,117738,11.3,2.59,98.62,4,140.45,70.99,78.59,97.4,2208,Heavy Rain,Yes,Severe,86,"IPL Match at Chinnaswamy Stadium (RCB vs DC, 32,450 spectators). Heavy crowd movement on Residency Road during peak match hours (22:00). Road DNA: 86. Reroute via Richmond Road flyover."
2025-05-09,21,5,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs CSK,31845,60561,19.19,2.03,78.29,0,146.22,86.8,85.23,97.89,1924,Clear,No,Medium,60,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 31,845 spectators). Heavy crowd movement on Cubbon Road during peak match hours (21:00). Road DNA: 60. Reroute via Richmond Road flyover."
2025-05-05,23,5,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs LSG,31055,125369,10.75,4.21,104.84,4,126.65,89.58,73.81,98.71,2553,Clear,No,High,79,"IPL Match at Chinnaswamy Stadium (RCB vs LSG, 31,055 spectators). Heavy crowd movement on Residency Road during peak match hours (23:00). Road DNA: 79. Reroute via Richmond Road flyover."
2025-03-05,18,3,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs KKR,33555,122780,7.15,2.95,109.58,1,151.31,83.53,89.11,87.8,1925,Heavy Rain,No,Severe,88,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 33,555 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (18:00). Road DNA: 88. Reroute via Richmond Road flyover."
2025-04-25,20,4,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs MI,33262,73355,18.39,1.72,83.38,3,125.18,70.28,75.14,92.58,3406,Clear,Yes,Medium,60,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 33,262 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (20:00). Road DNA: 60. Reroute via Richmond Road flyover."
2025-05-05,16,5,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs RR,28712,61181,24.91,1.92,89.71,0,156.21,85.81,89.92,85.88,932,Thunderstorm,Yes,Medium,70,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 28,712 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (16:00). Road DNA: 70. Reroute via Richmond Road flyover."
2025-04-07,16,4,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs MI,34742,91413,7.14,2.78,95.53,2,158.01,75.28,82.33,91.94,1830,Heavy Rain,Yes,Severe,88,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 34,742 spectators). Heavy crowd movement on Richmond Road during peak match hours (16:00). Road DNA: 88. Reroute via Richmond Road flyover."
2025-04-07,22,4,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs GT,31215,94941,11.42,2.77,105.85,4,139.94,88.1,88.35,85.55,2911,Light Rain,Yes,Severe,84,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 31,215 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (22:00). Road DNA: 84. Reroute via Richmond Road flyover."
2025-05-02,18,5,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs MI,34405,107257,9.77,3.46,100.0,4,132.43,77.8,80.11,86.75,2568,Clear,No,High,89,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 34,405 spectators). Heavy crowd movement on Cubbon Road during peak match hours (18:00). Road DNA: 89. Reroute via Richmond Road flyover."
2025-03-13,22,3,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs CSK,31279,111399,13.71,3.11,109.36,4,172.15,78.65,83.78,95.96,3335,Heavy Rain,No,Severe,79,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 31,279 spectators). Heavy crowd movement on Kasturba Road during peak match hours (22:00). Road DNA: 79. Reroute via Richmond Road flyover."
2025-03-14,19,3,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs GT,32746,88383,12.55,3.31,104.8,3,123.45,79.16,74.16,92.27,1393,Heavy Rain,No,Severe,93,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 32,746 spectators). Heavy crowd movement on MG Road during peak match hours (19:00). Road DNA: 93. Reroute via Richmond Road flyover."
2025-03-27,17,3,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs KKR,33822,110125,11.22,3.89,100.73,0,177.8,82.05,89.34,96.04,1355,Light Rain,No,Severe,95,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 33,822 spectators). Heavy crowd movement on Cubbon Road during peak match hours (17:00). Road DNA: 95. Reroute via Richmond Road flyover."
2025-05-10,18,5,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs SRH,32309,96073,8.05,4.26,112.9,4,179.05,79.46,83.75,90.3,2593,Thunderstorm,No,High,90,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 32,309 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (18:00). Road DNA: 90. Reroute via Richmond Road flyover."
2025-05-24,23,5,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs SRH,30659,108588,6.79,2.51,113.63,3,152.53,61.89,78.92,88.55,1738,Thunderstorm,Yes,High,80,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 30,659 spectators). Heavy crowd movement on Richmond Road during peak match hours (23:00). Road DNA: 80. Reroute via Richmond Road flyover."
2025-03-01,23,3,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs RR,32173,108280,12.26,3.89,105.51,3,180.3,86.36,72.52,95.64,3036,Light Rain,No,Severe,82,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 32,173 spectators). Heavy crowd movement on Residency Road during peak match hours (23:00). Road DNA: 82. Reroute via Richmond Road flyover."
2025-03-23,17,3,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs KKR,28287,107769,9.6,3.04,98.26,2,165.49,70.35,87.43,85.13,1817,Heavy Rain,No,Severe,85,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 28,287 spectators). Heavy crowd movement on Kasturba Road during peak match hours (17:00). Road DNA: 85. Reroute via Richmond Road flyover."
2025-05-20,20,5,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs SRH,32899,112495,7.76,3.74,110.53,0,125.75,78.74,86.82,93.3,3151,Light Rain,No,Severe,80,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 32,899 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (20:00). Road DNA: 80. Reroute via Richmond Road flyover."
2025-04-19,18,4,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs RR,31569,111905,7.86,3.53,103.84,1,156.17,84.49,82.33,85.99,1710,Thunderstorm,No,High,90,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 31,569 spectators). Heavy crowd movement on Residency Road during peak match hours (18:00). Road DNA: 90. Reroute via Richmond Road flyover."
2025-03-21,20,3,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs SRH,32942,57900,21.82,2.15,83.86,2,142.6,86.44,85.99,92.23,2626,Clear,Yes,Medium,62,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 32,942 spectators). Heavy crowd movement on Richmond Road during peak match hours (20:00). Road DNA: 62. Reroute via Richmond Road flyover."
2025-04-14,19,4,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs CSK,31850,103134,11.38,3.34,100.17,3,165.71,70.13,83.25,91.37,879,Clear,Yes,High,78,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 31,850 spectators). Heavy crowd movement on MG Road during peak match hours (19:00). Road DNA: 78. Reroute via Richmond Road flyover."
2025-03-05,21,3,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs MI,31178,83166,18.71,2.4,75.38,1,186.64,66.59,70.55,95.9,1238,Clear,Yes,Medium,60,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 31,178 spectators). Heavy crowd movement on Residency Road during peak match hours (21:00). Road DNA: 60. Reroute via Richmond Road flyover."
2025-03-15,21,3,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs SRH,31939,97436,10.06,2.76,110.05,0,164.39,61.69,80.02,92.96,3344,Light Rain,No,Severe,94,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 31,939 spectators). Heavy crowd movement on Kasturba Road during peak match hours (21:00). Road DNA: 94. Reroute via Richmond Road flyover."
2025-04-22,21,4,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs LSG,32103,82046,17.43,1.9,71.84,0,148.46,82.98,81.08,96.4,2213,Thunderstorm,No,Medium,71,"IPL Match at Chinnaswamy Stadium (RCB vs LSG, 32,103 spectators). Heavy crowd movement on MG Road during peak match hours (21:00). Road DNA: 71. Reroute via Richmond Road flyover."
2025-05-20,17,5,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs MI,33397,110627,12.71,4.11,103.11,4,120.66,75.95,75.2,86.55,1106,Clear,Yes,High,90,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 33,397 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (17:00). Road DNA: 90. Reroute via Richmond Road flyover."
2025-04-01,16,4,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs SRH,30786,72387,15.7,2.18,86.74,4,167.68,85.32,78.83,98.38,2917,Clear,Yes,Medium,73,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 30,786 spectators). Heavy crowd movement on Kasturba Road during peak match hours (16:00). Road DNA: 73. Reroute via Richmond Road flyover."
2025-04-13,17,4,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs LSG,32200,117439,8.88,4.25,100.26,1,121.26,61.13,85.5,93.69,2511,Clear,Yes,High,84,"IPL Match at Chinnaswamy Stadium (RCB vs LSG, 32,200 spectators). Heavy crowd movement on Richmond Road during peak match hours (17:00). Road DNA: 84. Reroute via Richmond Road flyover."
2025-04-15,17,4,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs MI,34987,97573,11.86,2.66,101.13,1,154.99,69.59,71.62,97.34,2883,Thunderstorm,No,High,95,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 34,987 spectators). Heavy crowd movement on Cubbon Road during peak match hours (17:00). Road DNA: 95. Reroute via Richmond Road flyover."
2025-04-05,17,4,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs MI,34272,113571,11.19,2.75,93.73,2,127.14,66.42,78.34,85.26,1438,Clear,Yes,High,87,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 34,272 spectators). Heavy crowd movement on Richmond Road during peak match hours (17:00). Road DNA: 87. Reroute via Richmond Road flyover."
2025-03-01,23,3,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs GT,33930,101105,11.85,2.55,112.65,1,158.77,61.84,75.82,95.69,1173,Thunderstorm,No,High,88,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 33,930 spectators). Heavy crowd movement on Richmond Road during peak match hours (23:00). Road DNA: 88. Reroute via Richmond Road flyover."
2025-05-04,20,5,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs RR,30622,63174,17.11,1.81,85.88,1,170.57,73.11,88.87,94.93,2475,Thunderstorm,No,Medium,72,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 30,622 spectators). Heavy crowd movement on Kasturba Road during peak match hours (20:00). Road DNA: 72. Reroute via Richmond Road flyover."
2025-03-04,18,3,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs DC,33039,90430,6.87,3.63,103.83,0,187.94,70.29,76.11,93.98,2242,Light Rain,Yes,Severe,82,"IPL Match at Chinnaswamy Stadium (RCB vs DC, 33,039 spectators). Heavy crowd movement on Cubbon Road during peak match hours (18:00). Road DNA: 82. Reroute via Richmond Road flyover."
2025-05-17,16,5,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs MI,30474,90312,10.19,3.23,92.06,4,151.41,61.97,78.34,90.44,2483,Heavy Rain,Yes,Severe,84,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 30,474 spectators). Heavy crowd movement on Residency Road during peak match hours (16:00). Road DNA: 84. Reroute via Richmond Road flyover."
2025-04-14,21,4,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs KKR,29027,87512,9.0,4.42,102.57,2,139.79,87.66,71.03,91.79,3413,Light Rain,Yes,Severe,85,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 29,027 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (21:00). Road DNA: 85. Reroute via Richmond Road flyover."
2025-04-04,23,4,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs SRH,31177,87107,6.93,3.69,111.05,1,186.95,73.0,78.09,99.22,3009,Heavy Rain,Yes,Severe,87,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 31,177 spectators). Heavy crowd movement on MG Road during peak match hours (23:00). Road DNA: 87. Reroute via Richmond Road flyover."
2025-03-28,18,3,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs LSG,28842,120346,7.32,2.59,113.53,3,171.96,67.1,87.23,99.98,2080,Thunderstorm,Yes,High,90,"IPL Match at Chinnaswamy Stadium (RCB vs LSG, 28,842 spectators). Heavy crowd movement on Richmond Road during peak match hours (18:00). Road DNA: 90. Reroute via Richmond Road flyover."
2025-05-19,19,5,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs KKR,32326,121567,11.35,3.14,96.63,1,188.57,80.47,86.26,87.11,2618,Light Rain,No,Severe,81,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 32,326 spectators). Heavy crowd movement on Kasturba Road during peak match hours (19:00). Road DNA: 81. Reroute via Richmond Road flyover."
2025-03-05,20,3,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs CSK,31592,128443,13.93,3.26,99.24,2,146.44,69.43,82.49,90.2,1916,Heavy Rain,Yes,Severe,80,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 31,592 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (20:00). Road DNA: 80. Reroute via Richmond Road flyover."
2025-03-06,17,3,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs DC,30064,102018,13.98,3.59,107.29,4,163.33,73.53,87.57,87.88,1342,Clear,No,High,93,"IPL Match at Chinnaswamy Stadium (RCB vs DC, 30,064 spectators). Heavy crowd movement on Residency Road during peak match hours (17:00). Road DNA: 93. Reroute via Richmond Road flyover."
2025-05-28,16,5,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs MI,33472,127217,10.55,2.92,114.99,3,187.53,74.94,74.41,85.55,3284,Light Rain,Yes,Severe,93,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 33,472 spectators). Heavy crowd movement on Kasturba Road during peak match hours (16:00). Road DNA: 93. Reroute via Richmond Road flyover."
2025-05-23,18,5,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs DC,30048,118365,8.75,3.9,110.48,2,151.71,74.8,82.47,86.59,1790,Heavy Rain,Yes,Severe,92,"IPL Match at Chinnaswamy Stadium (RCB vs DC, 30,048 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (18:00). Road DNA: 92. Reroute via Richmond Road flyover."
2025-05-07,18,5,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs GT,31064,104280,10.27,4.03,111.37,0,122.29,86.96,76.86,89.05,1445,Thunderstorm,No,High,89,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 31,064 spectators). Heavy crowd movement on Cubbon Road during peak match hours (18:00). Road DNA: 89. Reroute via Richmond Road flyover."
